Year,Units,display,Bundesland,GeoCode,Value
2016,percentage (%),b) target (min),,,3.500
2017,percentage (%),b) target (min),,,3.500
2018,percentage (%),b) target (min),,,3.500
2019,percentage (%),b) target (min),,,3.500
2020,percentage (%),b) target (min),,,3.500
2025,percentage (%),b) target (min),,,3.500
1995,percentage (%),a) time series,bw,code08,3.400
1997,percentage (%),a) time series,bw,code08,3.600
1999,percentage (%),a) time series,bw,code08,3.700
2000,percentage (%),a) time series,bw,code08,3.800
2001,percentage (%),a) time series,bw,code08,3.700
2002,percentage (%),a) time series,bw,code08,3.800
2003,percentage (%),a) time series,bw,code08,3.800
2004,percentage (%),a) time series,bw,code08,3.700
2005,percentage (%),a) time series,bw,code08,4.100
2006,percentage (%),a) time series,bw,code08,4.000
2007,percentage (%),a) time series,bw,code08,4.200
2008,percentage (%),a) time series,bw,code08,4.400
2009,percentage (%),a) time series,bw,code08,4.600
2010,percentage (%),a) time series,bw,code08,4.500
2011,percentage (%),a) time series,bw,code08,4.800
2012,percentage (%),a) time series,bw,code08,4.900
2013,percentage (%),a) time series,bw,code08,4.800
2014,percentage (%),a) time series,bw,code08,4.900
2015,percentage (%),a) time series,bw,code08,4.900
2016,percentage (%),a) time series,bw,code08,4.900
2017,percentage (%),a) time series,bw,code08,5.600
2018,percentage (%),a) time series,bw,code08,5.700
2019,percentage (%),a) time series,bw,code08,5.800
2020,percentage (%),a) time series,bw,code08,5.700
1995,percentage (%),a) time series,by,code09,2.700
1997,percentage (%),a) time series,by,code09,2.700
1999,percentage (%),a) time series,by,code09,2.800
2000,percentage (%),a) time series,by,code09,2.800
2001,percentage (%),a) time series,by,code09,2.900
2002,percentage (%),a) time series,by,code09,2.900
2003,percentage (%),a) time series,by,code09,3.000
2004,percentage (%),a) time series,by,code09,2.900
2005,percentage (%),a) time series,by,code09,2.900
2006,percentage (%),a) time series,by,code09,3.000
2007,percentage (%),a) time series,by,code09,2.800
2008,percentage (%),a) time series,by,code09,3.000
2009,percentage (%),a) time series,by,code09,3.100
2010,percentage (%),a) time series,by,code09,3.000
2011,percentage (%),a) time series,by,code09,3.000
2012,percentage (%),a) time series,by,code09,3.100
2013,percentage (%),a) time series,by,code09,3.100
2014,percentage (%),a) time series,by,code09,3.100
2015,percentage (%),a) time series,by,code09,3.100
2016,percentage (%),a) time series,by,code09,3.100
2017,percentage (%),a) time series,by,code09,3.100
2018,percentage (%),a) time series,by,code09,3.200
2019,percentage (%),a) time series,by,code09,3.400
2020,percentage (%),a) time series,by,code09,3.400
1995,percentage (%),a) time series,be,code11,2.900
1997,percentage (%),a) time series,be,code11,3.200
1999,percentage (%),a) time series,be,code11,3.300
2000,percentage (%),a) time series,be,code11,3.400
2001,percentage (%),a) time series,be,code11,3.800
2002,percentage (%),a) time series,be,code11,3.900
2003,percentage (%),a) time series,be,code11,3.700
2004,percentage (%),a) time series,be,code11,3.700
2005,percentage (%),a) time series,be,code11,3.500
2006,percentage (%),a) time series,be,code11,3.500
2007,percentage (%),a) time series,be,code11,3.000
2008,percentage (%),a) time series,be,code11,3.200
2009,percentage (%),a) time series,be,code11,3.400
2010,percentage (%),a) time series,be,code11,3.400
2011,percentage (%),a) time series,be,code11,3.300
2012,percentage (%),a) time series,be,code11,3.400
2013,percentage (%),a) time series,be,code11,3.600
2014,percentage (%),a) time series,be,code11,3.600
2015,percentage (%),a) time series,be,code11,3.500
2016,percentage (%),a) time series,be,code11,3.400
2017,percentage (%),a) time series,be,code11,3.400
2018,percentage (%),a) time series,be,code11,3.500
2019,percentage (%),a) time series,be,code11,3.300
2020,percentage (%),a) time series,be,code11,3.300
1995,percentage (%),a) time series,bb,code12,1.300
1997,percentage (%),a) time series,bb,code12,1.400
1999,percentage (%),a) time series,bb,code12,1.600
2000,percentage (%),a) time series,bb,code12,1.400
2001,percentage (%),a) time series,bb,code12,1.400
2002,percentage (%),a) time series,bb,code12,1.400
2003,percentage (%),a) time series,bb,code12,1.200
2004,percentage (%),a) time series,bb,code12,1.200
2005,percentage (%),a) time series,bb,code12,1.200
2006,percentage (%),a) time series,bb,code12,1.200
2007,percentage (%),a) time series,bb,code12,1.200
2008,percentage (%),a) time series,bb,code12,1.300
2009,percentage (%),a) time series,bb,code12,1.400
2010,percentage (%),a) time series,bb,code12,1.400
2011,percentage (%),a) time series,bb,code12,1.700
2012,percentage (%),a) time series,bb,code12,1.700
2013,percentage (%),a) time series,bb,code12,1.600
2014,percentage (%),a) time series,bb,code12,1.600
2015,percentage (%),a) time series,bb,code12,1.700
2016,percentage (%),a) time series,bb,code12,1.700
2017,percentage (%),a) time series,bb,code12,1.700
2018,percentage (%),a) time series,bb,code12,1.700
2019,percentage (%),a) time series,bb,code12,1.800
2020,percentage (%),a) time series,bb,code12,1.800
1995,percentage (%),a) time series,hb,code04,2.800
1997,percentage (%),a) time series,hb,code04,2.000
1999,percentage (%),a) time series,hb,code04,2.100
2000,percentage (%),a) time series,hb,code04,2.100
2001,percentage (%),a) time series,hb,code04,2.100
2002,percentage (%),a) time series,hb,code04,2.300
2003,percentage (%),a) time series,hb,code04,2.600
2004,percentage (%),a) time series,hb,code04,2.600
2005,percentage (%),a) time series,hb,code04,2.200
2006,percentage (%),a) time series,hb,code04,2.200
2007,percentage (%),a) time series,hb,code04,2.200
2008,percentage (%),a) time series,hb,code04,2.400
2009,percentage (%),a) time series,hb,code04,2.700
2010,percentage (%),a) time series,hb,code04,2.700
2011,percentage (%),a) time series,hb,code04,2.800
2012,percentage (%),a) time series,hb,code04,2.700
2013,percentage (%),a) time series,hb,code04,2.800
2014,percentage (%),a) time series,hb,code04,2.900
2015,percentage (%),a) time series,hb,code04,2.900
2016,percentage (%),a) time series,hb,code04,2.900
2017,percentage (%),a) time series,hb,code04,2.800
2018,percentage (%),a) time series,hb,code04,2.900
2019,percentage (%),a) time series,hb,code04,3.000
2020,percentage (%),a) time series,hb,code04,3.700
1995,percentage (%),a) time series,hh,code02,1.800
1997,percentage (%),a) time series,hh,code02,1.800
1999,percentage (%),a) time series,hh,code02,1.700
2000,percentage (%),a) time series,hh,code02,1.700
2001,percentage (%),a) time series,hh,code02,1.400
2002,percentage (%),a) time series,hh,code02,1.400
2003,percentage (%),a) time series,hh,code02,1.700
2004,percentage (%),a) time series,hh,code02,1.600
2005,percentage (%),a) time series,hh,code02,1.800
2006,percentage (%),a) time series,hh,code02,1.900
2007,percentage (%),a) time series,hh,code02,1.800
2008,percentage (%),a) time series,hh,code02,1.900
2009,percentage (%),a) time series,hh,code02,2.100
2010,percentage (%),a) time series,hh,code02,2.100
2011,percentage (%),a) time series,hh,code02,2.200
2012,percentage (%),a) time series,hh,code02,2.300
2013,percentage (%),a) time series,hh,code02,2.300
2014,percentage (%),a) time series,hh,code02,2.400
2015,percentage (%),a) time series,hh,code02,2.200
2016,percentage (%),a) time series,hh,code02,2.300
2017,percentage (%),a) time series,hh,code02,2.200
2018,percentage (%),a) time series,hh,code02,2.200
2019,percentage (%),a) time series,hh,code02,2.200
2020,percentage (%),a) time series,hh,code02,2.300
1995,percentage (%),a) time series,he,code06,2.100
1997,percentage (%),a) time series,he,code06,2.100
1999,percentage (%),a) time series,he,code06,2.400
2000,percentage (%),a) time series,he,code06,2.500
2001,percentage (%),a) time series,he,code06,2.300
2002,percentage (%),a) time series,he,code06,2.400
2003,percentage (%),a) time series,he,code06,2.500
2004,percentage (%),a) time series,he,code06,2.500
2005,percentage (%),a) time series,he,code06,2.500
2006,percentage (%),a) time series,he,code06,2.600
2007,percentage (%),a) time series,he,code06,2.500
2008,percentage (%),a) time series,he,code06,2.700
2009,percentage (%),a) time series,he,code06,3.000
2010,percentage (%),a) time series,he,code06,3.000
2011,percentage (%),a) time series,he,code06,2.900
2012,percentage (%),a) time series,he,code06,3.000
2013,percentage (%),a) time series,he,code06,2.800
2014,percentage (%),a) time series,he,code06,2.900
2015,percentage (%),a) time series,he,code06,2.800
2016,percentage (%),a) time series,he,code06,2.900
2017,percentage (%),a) time series,he,code06,2.900
2018,percentage (%),a) time series,he,code06,3.000
2019,percentage (%),a) time series,he,code06,3.100
2020,percentage (%),a) time series,he,code06,3.100
1995,percentage (%),a) time series,mv,code13,0.900
1997,percentage (%),a) time series,mv,code13,1.000
1999,percentage (%),a) time series,mv,code13,1.000
2000,percentage (%),a) time series,mv,code13,1.100
2001,percentage (%),a) time series,mv,code13,1.200
2002,percentage (%),a) time series,mv,code13,1.200
2003,percentage (%),a) time series,mv,code13,1.400
2004,percentage (%),a) time series,mv,code13,1.400
2005,percentage (%),a) time series,mv,code13,1.500
2006,percentage (%),a) time series,mv,code13,1.400
2007,percentage (%),a) time series,mv,code13,1.400
2008,percentage (%),a) time series,mv,code13,1.500
2009,percentage (%),a) time series,mv,code13,1.800
2010,percentage (%),a) time series,mv,code13,2.000
2011,percentage (%),a) time series,mv,code13,2.100
2012,percentage (%),a) time series,mv,code13,2.100
2013,percentage (%),a) time series,mv,code13,1.800
2014,percentage (%),a) time series,mv,code13,1.900
2015,percentage (%),a) time series,mv,code13,1.900
2016,percentage (%),a) time series,mv,code13,1.900
2017,percentage (%),a) time series,mv,code13,1.800
2018,percentage (%),a) time series,mv,code13,1.800
2019,percentage (%),a) time series,mv,code13,1.800
2020,percentage (%),a) time series,mv,code13,1.800
1995,percentage (%),a) time series,ni,code03,1.700
1997,percentage (%),a) time series,ni,code03,1.700
1999,percentage (%),a) time series,ni,code03,2.300
2000,percentage (%),a) time series,ni,code03,2.300
2001,percentage (%),a) time series,ni,code03,2.400
2002,percentage (%),a) time series,ni,code03,2.600
2003,percentage (%),a) time series,ni,code03,2.800
2004,percentage (%),a) time series,ni,code03,2.800
2005,percentage (%),a) time series,ni,code03,2.200
2006,percentage (%),a) time series,ni,code03,2.200
2007,percentage (%),a) time series,ni,code03,2.400
2008,percentage (%),a) time series,ni,code03,2.500
2009,percentage (%),a) time series,ni,code03,2.600
2010,percentage (%),a) time series,ni,code03,2.500
2011,percentage (%),a) time series,ni,code03,2.700
2012,percentage (%),a) time series,ni,code03,2.800
2013,percentage (%),a) time series,ni,code03,2.800
2014,percentage (%),a) time series,ni,code03,2.800
2015,percentage (%),a) time series,ni,code03,3.400
2016,percentage (%),a) time series,ni,code03,3.300
2017,percentage (%),a) time series,ni,code03,3.100
2018,percentage (%),a) time series,ni,code03,3.100
2019,percentage (%),a) time series,ni,code03,3.100
2020,percentage (%),a) time series,ni,code03,3.100
1995,percentage (%),a) time series,nw,code05,1.600
1997,percentage (%),a) time series,nw,code05,1.600
1999,percentage (%),a) time series,nw,code05,1.700
2000,percentage (%),a) time series,nw,code05,1.800
2001,percentage (%),a) time series,nw,code05,1.700
2002,percentage (%),a) time series,nw,code05,1.800
2003,percentage (%),a) time series,nw,code05,1.800
2004,percentage (%),a) time series,nw,code05,1.700
2005,percentage (%),a) time series,nw,code05,1.800
2006,percentage (%),a) time series,nw,code05,1.800
2007,percentage (%),a) time series,nw,code05,1.700
2008,percentage (%),a) time series,nw,code05,1.800
2009,percentage (%),a) time series,nw,code05,2.000
2010,percentage (%),a) time series,nw,code05,2.000
2011,percentage (%),a) time series,nw,code05,2.000
2012,percentage (%),a) time series,nw,code05,2.100
2013,percentage (%),a) time series,nw,code05,2.000
2014,percentage (%),a) time series,nw,code05,2.000
2015,percentage (%),a) time series,nw,code05,2.000
2016,percentage (%),a) time series,nw,code05,2.000
2017,percentage (%),a) time series,nw,code05,2.100
2018,percentage (%),a) time series,nw,code05,2.200
2019,percentage (%),a) time series,nw,code05,2.200
2020,percentage (%),a) time series,nw,code05,2.200
1995,percentage (%),a) time series,rp,code07,1.700
1997,percentage (%),a) time series,rp,code07,2.000
1999,percentage (%),a) time series,rp,code07,2.100
2000,percentage (%),a) time series,rp,code07,2.200
2001,percentage (%),a) time series,rp,code07,1.900
2002,percentage (%),a) time series,rp,code07,1.900
2003,percentage (%),a) time series,rp,code07,1.800
2004,percentage (%),a) time series,rp,code07,1.700
2005,percentage (%),a) time series,rp,code07,1.700
2006,percentage (%),a) time series,rp,code07,1.800
2007,percentage (%),a) time series,rp,code07,1.800
2008,percentage (%),a) time series,rp,code07,1.900
2009,percentage (%),a) time series,rp,code07,2.000
2010,percentage (%),a) time series,rp,code07,2.100
2011,percentage (%),a) time series,rp,code07,2.000
2012,percentage (%),a) time series,rp,code07,2.100
2013,percentage (%),a) time series,rp,code07,2.200
2014,percentage (%),a) time series,rp,code07,2.200
2015,percentage (%),a) time series,rp,code07,2.400
2016,percentage (%),a) time series,rp,code07,2.500
2017,percentage (%),a) time series,rp,code07,2.500
2018,percentage (%),a) time series,rp,code07,2.600
2019,percentage (%),a) time series,rp,code07,2.600
2020,percentage (%),a) time series,rp,code07,2.600
1995,percentage (%),a) time series,sl,code10,0.900
1997,percentage (%),a) time series,sl,code10,1.000
1999,percentage (%),a) time series,sl,code10,1.000
2000,percentage (%),a) time series,sl,code10,1.000
2001,percentage (%),a) time series,sl,code10,1.000
2002,percentage (%),a) time series,sl,code10,1.000
2003,percentage (%),a) time series,sl,code10,1.100
2004,percentage (%),a) time series,sl,code10,1.100
2005,percentage (%),a) time series,sl,code10,1.000
2006,percentage (%),a) time series,sl,code10,1.000
2007,percentage (%),a) time series,sl,code10,1.000
2008,percentage (%),a) time series,sl,code10,1.100
2009,percentage (%),a) time series,sl,code10,1.300
2010,percentage (%),a) time series,sl,code10,1.300
2011,percentage (%),a) time series,sl,code10,1.500
2012,percentage (%),a) time series,sl,code10,1.500
2013,percentage (%),a) time series,sl,code10,1.500
2014,percentage (%),a) time series,sl,code10,1.400
2015,percentage (%),a) time series,sl,code10,1.600
2016,percentage (%),a) time series,sl,code10,1.600
2017,percentage (%),a) time series,sl,code10,1.800
2018,percentage (%),a) time series,sl,code10,1.800
2019,percentage (%),a) time series,sl,code10,1.900
2020,percentage (%),a) time series,sl,code10,1.900
1995,percentage (%),a) time series,sn,code14,1.900
1997,percentage (%),a) time series,sn,code14,2.100
1999,percentage (%),a) time series,sn,code14,2.300
2000,percentage (%),a) time series,sn,code14,2.400
2001,percentage (%),a) time series,sn,code14,2.400
2002,percentage (%),a) time series,sn,code14,2.400
2003,percentage (%),a) time series,sn,code14,2.300
2004,percentage (%),a) time series,sn,code14,2.200
2005,percentage (%),a) time series,sn,code14,2.400
2006,percentage (%),a) time series,sn,code14,2.300
2007,percentage (%),a) time series,sn,code14,2.600
2008,percentage (%),a) time series,sn,code14,2.800
2009,percentage (%),a) time series,sn,code14,2.700
2010,percentage (%),a) time series,sn,code14,2.800
2011,percentage (%),a) time series,sn,code14,2.800
2012,percentage (%),a) time series,sn,code14,2.800
2013,percentage (%),a) time series,sn,code14,2.800
2014,percentage (%),a) time series,sn,code14,2.600
2015,percentage (%),a) time series,sn,code14,2.700
2016,percentage (%),a) time series,sn,code14,2.700
2017,percentage (%),a) time series,sn,code14,2.800
2018,percentage (%),a) time series,sn,code14,2.900
2019,percentage (%),a) time series,sn,code14,3.000
2020,percentage (%),a) time series,sn,code14,3.000
1995,percentage (%),a) time series,st,code15,1.300
1997,percentage (%),a) time series,st,code15,1.300
1999,percentage (%),a) time series,st,code15,1.300
2000,percentage (%),a) time series,st,code15,1.400
2001,percentage (%),a) time series,st,code15,1.300
2002,percentage (%),a) time series,st,code15,1.200
2003,percentage (%),a) time series,st,code15,1.200
2004,percentage (%),a) time series,st,code15,1.200
2005,percentage (%),a) time series,st,code15,1.200
2006,percentage (%),a) time series,st,code15,1.200
2007,percentage (%),a) time series,st,code15,1.200
2008,percentage (%),a) time series,st,code15,1.200
2009,percentage (%),a) time series,st,code15,1.400
2010,percentage (%),a) time series,st,code15,1.400
2011,percentage (%),a) time series,st,code15,1.500
2012,percentage (%),a) time series,st,code15,1.400
2013,percentage (%),a) time series,st,code15,1.400
2014,percentage (%),a) time series,st,code15,1.500
2015,percentage (%),a) time series,st,code15,1.400
2016,percentage (%),a) time series,st,code15,1.500
2017,percentage (%),a) time series,st,code15,1.500
2018,percentage (%),a) time series,st,code15,1.600
2019,percentage (%),a) time series,st,code15,1.500
2020,percentage (%),a) time series,st,code15,1.600
1995,percentage (%),a) time series,sh,code01,1.100
1997,percentage (%),a) time series,sh,code01,1.100
1999,percentage (%),a) time series,sh,code01,1.100
2000,percentage (%),a) time series,sh,code01,1.100
2001,percentage (%),a) time series,sh,code01,1.100
2002,percentage (%),a) time series,sh,code01,1.200
2003,percentage (%),a) time series,sh,code01,1.200
2004,percentage (%),a) time series,sh,code01,1.100
2005,percentage (%),a) time series,sh,code01,1.200
2006,percentage (%),a) time series,sh,code01,1.200
2007,percentage (%),a) time series,sh,code01,1.200
2008,percentage (%),a) time series,sh,code01,1.200
2009,percentage (%),a) time series,sh,code01,1.300
2010,percentage (%),a) time series,sh,code01,1.300
2011,percentage (%),a) time series,sh,code01,1.400
2012,percentage (%),a) time series,sh,code01,1.500
2013,percentage (%),a) time series,sh,code01,1.500
2014,percentage (%),a) time series,sh,code01,1.600
2015,percentage (%),a) time series,sh,code01,1.500
2016,percentage (%),a) time series,sh,code01,1.500
2017,percentage (%),a) time series,sh,code01,1.600
2018,percentage (%),a) time series,sh,code01,1.600
2019,percentage (%),a) time series,sh,code01,1.700
2020,percentage (%),a) time series,sh,code01,1.600
1995,percentage (%),a) time series,th,code16,1.600
1997,percentage (%),a) time series,th,code16,1.700
1999,percentage (%),a) time series,th,code16,1.600
2000,percentage (%),a) time series,th,code16,1.700
2001,percentage (%),a) time series,th,code16,2.100
2002,percentage (%),a) time series,th,code16,2.200
2003,percentage (%),a) time series,th,code16,1.900
2004,percentage (%),a) time series,th,code16,1.900
2005,percentage (%),a) time series,th,code16,1.900
2006,percentage (%),a) time series,th,code16,1.900
2007,percentage (%),a) time series,th,code16,1.900
2008,percentage (%),a) time series,th,code16,2.100
2009,percentage (%),a) time series,th,code16,2.200
2010,percentage (%),a) time series,th,code16,2.200
2011,percentage (%),a) time series,th,code16,2.100
2012,percentage (%),a) time series,th,code16,2.200
2013,percentage (%),a) time series,th,code16,2.200
2014,percentage (%),a) time series,th,code16,2.100
2015,percentage (%),a) time series,th,code16,2.100
2016,percentage (%),a) time series,th,code16,2.100
2017,percentage (%),a) time series,th,code16,2.200
2018,percentage (%),a) time series,th,code16,2.300
2019,percentage (%),a) time series,th,code16,2.400
2020,percentage (%),a) time series,th,code16,2.500
