Year,Units,display,Bundesland,GeoCode,Value
2007,percentage (%),a) time series,he,code06,6.08
2008,percentage (%),a) time series,he,code06,5.84
2009,percentage (%),a) time series,he,code06,6.33
2010,percentage (%),a) time series,he,code06,7.51
2011,percentage (%),a) time series,he,code06,8.10
2012,percentage (%),a) time series,he,code06,8.26
2013,percentage (%),a) time series,he,code06,8.68
2014,percentage (%),a) time series,he,code06,8.74
2015,percentage (%),a) time series,he,code06,9.49
2016,percentage (%),a) time series,he,code06,9.61
2017,percentage (%),a) time series,he,code06,10.20
2018,percentage (%),a) time series,he,code06,11.53
2019,percentage (%),a) time series,he,code06,11.53
2006,percentage (%),a) time series,ni,code03,8.70
2008,percentage (%),a) time series,ni,code03,10.89
2009,percentage (%),a) time series,ni,code03,11.37
2010,percentage (%),a) time series,ni,code03,12.26
2011,percentage (%),a) time series,ni,code03,13.77
2012,percentage (%),a) time series,ni,code03,15.58
2013,percentage (%),a) time series,ni,code03,15.60
2014,percentage (%),a) time series,ni,code03,16.18
2015,percentage (%),a) time series,ni,code03,18.54
2016,percentage (%),a) time series,ni,code03,18.58
2017,percentage (%),a) time series,ni,code03,20.92
2018,percentage (%),a) time series,ni,code03,22.32
2019,percentage (%),a) time series,ni,code03,24.11
2005,percentage (%),a) time series,nw,code05,3.18
2006,percentage (%),a) time series,nw,code05,4.07
2007,percentage (%),a) time series,nw,code05,4.63
2008,percentage (%),a) time series,nw,code05,3.95
2009,percentage (%),a) time series,nw,code05,4.90
2010,percentage (%),a) time series,nw,code05,4.99
2011,percentage (%),a) time series,nw,code05,5.35
2012,percentage (%),a) time series,nw,code05,5.82
2013,percentage (%),a) time series,nw,code05,5.75
2014,percentage (%),a) time series,nw,code05,5.76
2015,percentage (%),a) time series,nw,code05,6.33
2016,percentage (%),a) time series,nw,code05,6.42
2017,percentage (%),a) time series,nw,code05,6.84
2018,percentage (%),a) time series,nw,code05,7.30
2019,percentage (%),a) time series,nw,code05,7.94
2005,percentage (%),a) time series,rp,code07,5.51
2006,percentage (%),a) time series,rp,code07,7.52
2007,percentage (%),a) time series,rp,code07,9.19
2008,percentage (%),a) time series,rp,code07,8.67
2009,percentage (%),a) time series,rp,code07,9.19
2010,percentage (%),a) time series,rp,code07,10.02
2011,percentage (%),a) time series,rp,code07,10.78
2012,percentage (%),a) time series,rp,code07,12.31
2013,percentage (%),a) time series,rp,code07,12.82
2014,percentage (%),a) time series,rp,code07,13.05
2015,percentage (%),a) time series,rp,code07,14.27
2016,percentage (%),a) time series,rp,code07,14.09
2017,percentage (%),a) time series,rp,code07,14.67
2018,percentage (%),a) time series,rp,code07,15.40
2019,percentage (%),a) time series,rp,code07,15.96
2005,percentage (%),a) time series,sl,code10,1.83
2006,percentage (%),a) time series,sl,code10,2.21
2007,percentage (%),a) time series,sl,code10,2.70
2008,percentage (%),a) time series,sl,code10,2.45
2009,percentage (%),a) time series,sl,code10,2.98
2010,percentage (%),a) time series,sl,code10,3.40
2011,percentage (%),a) time series,sl,code10,3.34
2012,percentage (%),a) time series,sl,code10,3.30
2013,percentage (%),a) time series,sl,code10,3.65
2014,percentage (%),a) time series,sl,code10,3.94
2015,percentage (%),a) time series,sl,code10,4.44
2005,percentage (%),a) time series,sn,code14,3.58
2006,percentage (%),a) time series,sn,code14,6.59
2007,percentage (%),a) time series,sn,code14,7.86
2008,percentage (%),a) time series,sn,code14,7.57
2009,percentage (%),a) time series,sn,code14,8.12
2010,percentage (%),a) time series,sn,code14,9.01
2011,percentage (%),a) time series,sn,code14,10.00
2012,percentage (%),a) time series,sn,code14,10.21
2013,percentage (%),a) time series,sn,code14,10.63
2014,percentage (%),a) time series,sn,code14,11.08
2015,percentage (%),a) time series,sn,code14,12.01
2016,percentage (%),a) time series,sn,code14,11.71
2017,percentage (%),a) time series,sn,code14,12.00
2018,percentage (%),a) time series,sn,code14,12.07
2019,percentage (%),a) time series,sn,code14,12.64
2005,percentage (%),a) time series,st,code15,7.94
2006,percentage (%),a) time series,st,code15,12.39
2007,percentage (%),a) time series,st,code15,16.33
2008,percentage (%),a) time series,st,code15,16.79
2009,percentage (%),a) time series,st,code15,17.83
2010,percentage (%),a) time series,st,code15,18.19
2011,percentage (%),a) time series,st,code15,20.59
2012,percentage (%),a) time series,st,code15,20.78
2013,percentage (%),a) time series,st,code15,21.86
2014,percentage (%),a) time series,st,code15,22.86
2015,percentage (%),a) time series,st,code15,25.69
2016,percentage (%),a) time series,st,code15,23.40
2017,percentage (%),a) time series,st,code15,26.26
2018,percentage (%),a) time series,st,code15,25.20
2019,percentage (%),a) time series,st,code15,26.00
2005,percentage (%),a) time series,sh,code01,9.28
2006,percentage (%),a) time series,sh,code01,10.54
2007,percentage (%),a) time series,sh,code01,13.96
2008,percentage (%),a) time series,sh,code01,14.43
2009,percentage (%),a) time series,sh,code01,15.09
2010,percentage (%),a) time series,sh,code01,17.20
2011,percentage (%),a) time series,sh,code01,19.80
2012,percentage (%),a) time series,sh,code01,21.77
2013,percentage (%),a) time series,sh,code01,21.34
2014,percentage (%),a) time series,sh,code01,23.98
2015,percentage (%),a) time series,sh,code01,31.70
2016,percentage (%),a) time series,sh,code01,33.13
2017,percentage (%),a) time series,sh,code01,37.09
2018,percentage (%),a) time series,sh,code01,37.95
2019,percentage (%),a) time series,sh,code01,7.83
2005,percentage (%),a) time series,th,code16,12.43
2006,percentage (%),a) time series,th,code16,13.67
2007,percentage (%),a) time series,th,code16,16.69
2008,percentage (%),a) time series,th,code16,15.39
2009,percentage (%),a) time series,th,code16,15.01
2010,percentage (%),a) time series,th,code16,16.47
2011,percentage (%),a) time series,th,code16,17.06
2012,percentage (%),a) time series,th,code16,16.93
2013,percentage (%),a) time series,th,code16,18.05
2014,percentage (%),a) time series,th,code16,18.69
2015,percentage (%),a) time series,th,code16,19.75
2016,percentage (%),a) time series,th,code16,20.53
2017,percentage (%),a) time series,th,code16,22.36
2018,percentage (%),a) time series,th,code16,21.09
